type,name,label,required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
integer,gov_social_benefits,2. Government social benefits of assistance (including pensions),yes,,,,. >=0,,??????? ?????????? ???????? ?? ????????:,,,,,,
integer,non_gov_salary,3. Non-government salaried work,yes,,${private_libya_job_female} >0 or ${private_libya_job_male} >0 or ${private_foreign_job_female} >0 or ${private_foreign_job_male} >0 or ${ngo_libya_job_female} >0 or ${ngo_libya_job_male} >0 or ${ngo_international_job_female} >0 or ${ngo_international_job_male} >0 or ${employment_female_other} >0 or ${employment_male_other} >0,,. >=0,,????? ??? ?????? ????,,,,,,
integer,casual_labour,4. Casual or daily labour,yes,,${informal_labour_female} >0 or ${informal_labour_male} >0 ,,. >=0,, ????? ?????? ?? ??????:,,,,,,
integer,own_business_income,5. Income from own business or commerce,yes,,${own_business_female} >0 or ${own_business_male} >0 ,,. >=0,,????? ?? ??????? ???????? ?????? ?? ???????,,,,,,
integer,remittances,6. Remittances,yes,,,,. >=0,,?????????,,,,,,
integer,family_support,7. Support from family and friends (not including remittances),yes,,,,. >=0,,??? ??????? / ???????? :,,,,,,
integer,humanitarian_assistance,8. Humanitarian assistance,yes,,,,. >=0,, ???????? ?????????/ ???????? ???????:,,,,,,
integer,zakat,9. Zakat or charitable donations (not formal humanitarian assistance),yes,,,,. >=0,,?????? ?? ???????? ??????? (???? ???????? ????????? ???????),,,,,,
integer,income_other,10. Other (please specify),yes,,,,. >=0,,????:,,,,,,
end_group,,,,,,,,,,,,,,,
text,income_source_other,"if other, please specify",yes,,${income_other} >0,,,,??? ?? ??? ????? ??? ???,,,,,,
integer,income_received_in_cash,Approximately what percentage of your household's income over the last 30 days was received in cash (LYD)?,yes,,,,. >=0 and .<=100,,?????? ?? ?? ?????? ???????  ?? ??? ????? ???? ???????? ????? ??????? ???? ?? ???????? ????? (LYD)?,,,,,,
select_one yes_no_dk_dwta,obtaining_cash_to_meet_needs,Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?,yes,,,quick,,,?? ????? ????? ?? ?????? ?? ?????? ??? ?? ???? ?? ????? ?????? ?????????? ???? ???????? ????? ????????,,,,,,
select_multiple obtaining_cash_challenges,obtaining_cash_challenges,If yes: What were the main challenges to obtaining enough money to meet your household's needs in the last 30 days?,yes,,${obtaining_cash_to_meet_needs} ='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1",,??? ???? ??????? ????: ?? ???? ???????? ???????? ?????? ??? ????? ?? ?? ?????? ???? ????????,,,,,????? ???????? ,
text,obtaining_cash_challenges_other,"if other, please specify",yes,,"selected(${obtaining_cash_challenges},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_one cash_withdraw,cash_withdraw,Did you personally withdraw any money from banks or ATMs in the last 30 days?,yes,,,quick,,,?? ??? ????? ???? ?? ????? ?? ?????? ?? ????? ?????? ????? ?? ?????? ????? ????????,,,,,,
select_one cash_withdraw_amount,cash_withdraw_amount,"How much money, in LYD, did you personally withdraw in total over the last 30 days?",yes,,${cash_withdraw} = 'yes',quick,,,?? ?????? ?? ???? ??????? ???????? ?????? ?? ??? ?????? ?????,,,,,,
begin_group,income_expenditure,"During the past 30 days, how much did your household spend, in LYD, on each of the following categories of items for domestic consumption? For each, please estimate the total amount spent by your household using all modalities (cash, credit, cheques, etc.).",yes,,,field-list,,,?? ?? ?????  ????? ????? ??? ?????????? ???????? ??????? ???? ?????? ???? ????????,,,,"Give your answers as % , the total should be 100%","??? ???????? ??????? ????????, ??? ??????? ?? ???? ???? ? 100 ???????",
integer,expend_food,1. Food items,yes,,,,. >=0,,??????:,,,,,,
integer,expend_housing,2. Rent,yes,,"selected(${occupancy_type},'rented_written_contract') or selected(${occupancy_type},'rented_verbal_agreement')",,. >=0,,"???????:
",,,,,,
integer,expend_water,3. Water (from all sources combined),yes,,,,. >=0,,"?????? (??? ???? ?????? ???? ?????????????? ?? ?????? ?? ???????? ):",,,,,,
integer,expend_nfi,"4. Non-food household items (hygiene items, blankets, lightbulbs, etc.)",yes,,,,. >=0,,"?????? ????? ?????? (???? ???????? ????????? ? ???????? ? ???)",,,,,,
integer,expend_utilities,5. Utilities (electricity and gas connections),yes,,,,. >=0,,??????? (??????? ???????? ??????),,,,,,
integer,expend_fuel,"6. Fuel (for cooking, for vehicles, etc.)",yes,,,,. >=0,,"?????? (????? ? ???????? ? ???)",,,,,,
integer,expand_health,"7. Health-related expenditures (healthcare, medicine, etc.)",yes,,,,. >=0,,"??????? ???????? ?????? (??????? ?????? ? ???? ? ??? ??? ???)",,,,,,
integer,expend_education,"8. Education-related expenditures (school fees, supplies, uniforms, etc.)",yes,,,,. >=0,,"??????? ???????? ???????? (?????? ???????? ? ??????? ? ???? ??????? ? ???)",,,,,,
integer,expand_transportation,9. Transportation,yes,,,,. >=0,,????? ,,,,,,
integer,expand_assets,"10. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)",yes,,,,. >=0,,"?????? ????????? (?????? ????????? ???????? ?? ????? ????? ? ??? ??????? ??????? ? ???????? ? ??? ??? ???)",,,,,,
integer,debt_payment,11. Debt repayment,yes,,,,. >=0,,???? ??????,,,,,,
integer,expand_other,12. All other expenditures (please specify),yes,,,,. >=0,,???? ??????? ?????? (???? ???????),,,,,,
end_group,,,,,,,,,,,,,,,
text,income_expenditure_other,"if other expenditures, please specify what are they:",yes,,${expand_other} >0,,,,"?? ??? ????? ??? ???, ??? ??? ??????? ?????? ",,,,,,
select_one payment_modality,payment_modality,What was the payment modality most commonly used by your household in the past 30 days?,yes,,,quick,,,?? ????? ????? ???????? ( ?????? ????????)  ?? ???????? ???? ????????,,,,,,
text,payment_modality_other,Other:,,,"selected(${payment_modality},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_one yes_no_dk_dwta,access_market_place,Do you have access to a marketplace or grocery store in your mahalla or close to your mahalla?,yes,,,quick,,,?? ?????? ?????? ??? ????? ?? ??? ???? ?????? ?? ?????? ???? ????? ????? ????,,,,,,
select_one time_accessgoods,time_accessgoods,For how long do you have to travel by car to get to the nearest marketplace or grocery store?,yes,,"not(selected(${access_market_place},'dk'))",quick,,,?? ?? ????? ?????? ????? ???????? ?????? ??? ???? ??? ?? ??? ???? ???????,,,,,,
select_multiple barrier_marketplace,barrier_marketplace,"In the last 30 days, did you or anyone in your household face any barriers to consistently accessing marketplaces or grocery stores?",yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barrier')) and count-selected(.) <=3 or count-selected(.) = 1",some options can't be selected with other options,???? ???????? ????? ??????? ?? ?????? ??? ?? ??? ????? ????? ????? ?????? ?? ?????? ??? ??????? ?? ????? ???? ??????  ???? ????? ?,??? ???????? ?? ???? ???????? ?? ?????? ????,,,make sure to read all the answers possible otherwise people might not remember everything,???? ?? ???? ???? ????????? ??????? ??? ??????? ?? ??????? ?? ???,
text,barrier_marketplace_other,Other: ,,,"selected(${barrier_marketplace},'other')",,,,?????,,,,,,
select_multiple barrier_marketitem,barrier_marketitem,"In the last 30 days, did you or anyone in your household face any barriers to regularly purchasing specific items on the market?",yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barrier_item')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,"???? ???????? ????? ??????? ? ?? ?????? ??? ?? ?? ??? ?? ????? ?? ????? ????? ???? ????? ??????? ?? ??????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,make sure to read all the answers possible otherwise people might not remember everything,???? ?? ???? ???? ????????? ??????? ??? ??????? ?? ??????? ?? ???,
text,barrier_marketitem_other,Other: ,,,"selected(${barrier_marketitem},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_multiple barrier_marketitem_expensive,barrier_marketitem_expensive,"If ""Yes, some items are too expensive"":
Which items were too expensive to afford? (select category first, then list specific items)",yes,,"selected(${barrier_marketitem}, 'yes_expensive')",,,,"??? ???? ??????? ""??? ?  ??? ??????? ????? ????"":
?? ?? ??????? ???? ???? ????? ??????? (??? ????? ????? ? ?? ???? ????? ?????)",,,,multiple choice,????? ???????? ,
begin_group,marketitem_expensive_detaills,Please specify the items that are expensive,yes,,,,,,???? ????? ??????? ???????,,,,,,
text,food_expensive_details,"If food item,please specify:",,,"selected(${barrier_marketitem_expensive},'expensive_fi')",,,,"??? ???? ??????? ????????? ???? ????? ",,,,,,
text,hygiene_expensive_details,"If Hygiene items, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_hygiene')",,,,"??? ???? ???? ???????, ???? ????? ",,,,,,
text,hh_item_expensive_details,"If household items, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_hh_items')",,,,"??? ???? ??????? ????????? ???? ????? ",,,,,,
text,fuel_expensive_details,"If fuel, Please specify",,,"selected(${barrier_marketitem_expensive},'expensive_fuel')",,,,"??? ??? ??????? ???? ????? ",,,,,,
text,water_expensive_details,"If water, Please specify",,,"selected(${barrier_marketitem_expensive},'expensive_water')",,,,"??? ??? ?????? ???? ????? ",,,,,,
text,medecine_expensive_details,"If medecine, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_med')",,,,"??? ???? ??????? ?? ?????? ??? ????? ??????? ???? ????? ",,,,,,
text,barrier_marketitem_expensive_other,"if other, please specify",,,"selected(${barrier_marketitem_expensive},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple barrier_marketitem_unavailable,barrier_marketitem_unavailable,"If ""Yes, some items are not available"":
Which items were not consistently available? (select category first, then list specific items)",yes,,"selected(${barrier_marketitem}, 'yes_unavailable')",,,,"??? ""??? ? ??? ??????? ??? ??????"":
?? ?? ??????? ???? ?? ??? ?????? ????????? (??? ????? ????? ? ?? ???? ????? ?????)",,,,multiple choice,????? ???????? ,
begin_group,marketitem_unavailable_detaills,Please specify the items that are unavailable,yes,,,,,,???? ????? ??????? ??? ??????,,,,,,
text,food_unavailable_details,"If food item,please specify:",,,"selected(${barrier_marketitem_unavailable},'unavailable_fi')",,,,"??? ???? ??????? ????????? ???? ????? ",,,,,,
text,hygiene_unavailable_details,"If Hygiene items, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_hygiene')",,,,"??? ???? ???? ???????, ???? ????? ",,,,,,
text,hh_item_unavailable_details,"If household items, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_hh_items')",,,,"??? ???? ??????? ????????? ???? ????? ",,,,,,
text,fuel_unavailable_details,"If fuel, Please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_fuel')",,,,"??? ??? ??????? ???? ????? ",,,,,,
text,water_unavailable_details,"If water, Please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_water')",,,,"??? ??? ?????? ???? ????? ",,,,,,
text,medecine_unavailable_details,"If medecine, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_med')",,,,"??? ???? ??????? ?? ?????? ??? ????? ??????? ???? ????? ",,,,,,
text,barrier_marketitem_unavailable_other,"if other, please specify",yes,,"selected(${barrier_marketitem_unavailable},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple financial_provider,financial_provider,What types of financial service providers do you have access to in or around your mahalla?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ??  ??????? ??????? ???????? ?? ??????? / ?? ???? ?????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,multiple choice,????? ???????? ,
text,financial_provider_other,if other please specify,,,"selected(${financial_provider},'other')",,,,??? ?? ??? ????? ??? ???,,,,,,
begin_group,coping_mechanism_cash,"During the past 30 days, did anyone in your household have to engage in any of the following activities? Options for each sub-question, select one:",yes,,,,,,"???? ?? 30 ???? ??????? ?? ???? ????? ???? ?????? ??????? ??????? ?? ??? ??????? ??????? / ?? ???? ?? ????? ?? ????? ??????????                                                              ",,,,,,
select_one cash_coping,sell_non_productive_asset,"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)",yes,,,quick,,," ??? ????????? ???????? ??? ??????? (????????? ? ??????? ???????? ? ?????? ? ????? ? ???.)",,,,,,
select_one cash_coping,sell_productive_asset,"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)",yes,,,quick,,," ??? ????????? ???????? ??????? ?? ????? ????? (?????? ??????? ? ???? ????? ? ????? ? ???)",,,,,,
select_one cash_coping,spent_savings,3. Spent savings,yes,,,quick,,,?????? ???????? ,,,,,,
select_one cash_coping,borrow_money,4. Borrowed money,yes,,,quick,,, ?????? ???????  ,,,,,,
select_one cash_coping,purchase_on_credit,5. Purchased food on credit or borrowed food,yes,,,quick,,,???? ?????? ?????? ???????? ?? ?????? ??????,,,,,,
select_one cash_coping,reduce_expense_nfi,"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)",yes,,,quick,,,"??? ??????? ??? ?????? ???????? ??? ???????? (????? ? ????? ??????? ? ??? ??? ???)",,,,,,
select_one cash_coping,reduce_expense_health,"7. Reduced expenses on health, medicine, or education",yes,,,quick,,, ?????? ??????? ??? ????? ?? ???????  ?? ???????,,,,,,
select_one cash_coping,delay_skip_rent,8. Delayed or skipped paying rent,yes,,,quick,,, ???? ?? ??? ??? ???????,,,,,,
select_one cash_coping,begging,9. Asked strangers for money or food,yes,,,quick,,, ???????? ?? ??????  ???? ??????? ,,,,,,
select_one cash_coping,additional_job,10. Took an additional job,yes,,,quick,,, ????? ??  ????? ??????,,,,,,
select_one cash_coping,degrading_illegal_work,"11. HH member accepted socially degrading, exploitative, high-risk, or illegal work",yes,,,quick,,, ??? ?? ?????? ??? ?????? ????? ????????? ????? ??????? ? ?????????  ?? ??? ???????,,,,,,
select_one cash_coping,coping_cash_other,"12. Other, please specify",yes,,,quick,,," ???? ? ???? ???????",,,,,,
end_group,,,,,,,,,,,,,,,
text,coping_mechanism_cash_other,Other: ,,,"selected(${coping_cash_other},'yes') or selected(${coping_cash_other},'already_exhausted')",,,,??? ?? ??? ????? ??? ???,,,,,,
select_multiple coping_cash_reason,coping_cash_reason," If Yes to any of the options, for what reason were these coping strategies mainly used?",yes,,${sell_non_productive_asset} ='yes' or ${sell_productive_asset} ='yes' or ${spent_savings} ='yes' or ${borrow_money} ='yes' or ${purchase_on_credit} ='yes' or ${reduce_expense_nfi} ='yes' or ${reduce_expense_health} ='yes' or ${delay_skip_rent} ='yes' or ${begging} ='yes' or ${additional_job} ='yes' or ${degrading_illegal_work} ='yes' or ${coping_cash_other} ='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ???? ??? ?? ?? ???????? ? ??? ??? ??????? ??????????? ???????? ??? ???????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,multiple choice,????? ???????? ,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,displacement,Displacement,yes,,"selected(${displacement_status},'idp') or selected(${displacement_status},'returnee')",,,,???????? ? ???????? ,,,,,,
select_one yes_no_dk_dwta,displaced_since2011,"Since 2011, has your household ever been displaced as a result of conflict?",yes,,,quick,,,"??? ??? 2011 ? ?? ???? ????? ???? ???????",,,,,,
select_one Mantika,Mantika_area_origin,"If Yes, What do you consider to be your household's area of origin? Select Mantika",yes,,"selected(${displaced_since2011},'yes')",quick,,,?????? ??????? ,,,,,,
select_one Baladiya,Baladiya_area_origin,"If Yes, What do you consider to be your household's area of origin? Select Baladiya",yes,,"selected(${displaced_since2011},'yes')",quick,,,?????? ??????? ,,Mantika=${Mantika_area_origin},,,,
integer,nbtimes_displaced,"If Yes, Since 2011, how many times has your household been displaced?",yes,,"selected(${displaced_since2011},'yes')",,.>0,,"??? ???? ??????? ??? ? ??? ??? 2011  ?? ??? ?????? ???? ???? ???? ?",,,,,,
select_one year_displacement,year_displacement,In what year was your household most recently displaced?,yes,,,quick,,, ?? ?? ??? ??? ??? ???? ???????,,,,,,
select_one Mantika,Mantika_disp,Where were you most recently displaced to?,yes,,,quick,,,?????,,,,,,
select_one Baladiya,Baladiya_disp,Where were you most recently displaced to?,yes,,,quick,,,?????,,Mantika=${Mantika_disp},,,,
select_multiple push_factors,push_factors,What are the main reasons why your household left its area of origin?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ?? ??????? ???????? ???? ??? ????? ??????? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,other_pushfactor,"If other, specify",yes,,"selected(${push_factors},'other')",,,, ???? (???),,,,,,
select_multiple no_return_reason,no_return_reason,What are the main reasons why your HH has not returned to its area of origin?,yes,,"selected(${displacement_status},'idp')",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ?? ??????? ???????? ???? ???? ????? ??? ??????? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,no_return_reason_other,"If other, specify",yes,,"selected(${no_return_reason},'other')",,,, ???? (???),,,,,,
select_multiple pull_factors,pull_factors,Why did your household choose to move/to come back to this area specifically?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,????? ?????? ????? ????? / ?????? ??? ??? ??????? ??? ??? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,Up to three choices ,????? ?????? ????? ?????? ??? ????,
text,other_pullfactor,"If other, specify",yes,,"selected(${pull_factors},'other')",,,,"???, ???",,,,,,
select_multiple return_area_decision,return_area_decision,Who made the decision for your return (within or outside your HH)?,yes,,"selected(${displacement_status},'returnee')",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ???? ???? ???? ????? ?(???? ?? ???? ????),??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,return_area_decision_other,"If other, specify",yes,,"selected(${return_area_decision},'other')",,,,???  ???,,,,,,
select_multiple problem_faced_return,problem_faced_return,When you returned to your community did you experience any of the following?,yes,,"selected(${displacement_status},'returnee')",,,,"????? ??? ??? ?????? ? ?? ????? ???? ??? ????",,,,,,
text,problem_faced_return_other,"If other, specify",yes,,"selected(${problem_faced_return},'other')",,,,???  ???,,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,protection,Protection,yes,,,,,,???????,,,,,,
select_one yes_no_dk_dwta,lost_documentation,"Did you or some household member lose legal documentation because of the conflict (e.g. family book, birth certificate, marriage certificates…)?",yes,,,quick,,,"?? ???? ??? ?? ??? ????? ????? ???????? ????????? ???? ?????? (??? ???? ???????? ?????? ??????? ??????? ?????? ...)?",,,,,,
select_multiple lost_doc_types,lost_doc_types,"If Yes, please specify which documents?",yes,,"selected(${lost_documentation},'yes')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_doc_missing')) or count-selected(.) = 1",some options can't be selected with other options,"??? ??? ?????? ???? ? ???? ????? ????????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
select_multiple lost_doc_impact,lost_doc_impact,"If Yes, has the loss of your documentation affected your access to any of the following?",yes,,"selected(${lost_documentation},'yes')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_impact')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ???? ? ??? ???? ????? ?????? ?? ????? ??? ?? ??? ????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
select_one yes_no_dk_dwta,applied_documentation,"If Yes, Have you applied to get new documentation?",yes,,"selected(${lost_documentation},'yes')",quick,,," ??? ???? ??????? ????? ?? ????? ???? ?????? ??? ????? ??????",,,,,,
select_multiple documentation_reasons,documentation_reason,"If no, why haven't you applied to get new documentation?",yes,,"selected(${applied_documentation},'no')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ""??""? ????? ?? ???? ???? ?????? ??? ????? ??????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,documentation_reason_other,Other:,yes,,"selected(${documentation_reason},'other')",,,,????? ???? (???),,,,,,
select_one yes_no_dk_dwta,missing_family_member, Do you have any missing family members?,yes,,,quick,,,?? ???? ?? ????? ?? ????? ????????,,,,,,
integer,missing_family_under18,"If Yes, how many below 18 years old ?",yes,,"selected(${missing_family_member},'yes')",,.>=0,,"??? ??? ?????? ???? ? ??? ??? ????????? ??? ?? 18 ??????",,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,missing_family_above18,"If Yes, how many above 18 years old?",yes,,"selected(${missing_family_member},'yes')",,.>=0,,"??? ???? ??????? ??? ? ??? ??? ????????? ???? ?? 18 ??????",,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
select_one missing_period,missing_period,"If Yes, since when have they been missing?",yes,,"selected(${missing_family_member},'yes')",quick,,,"??? ??? ??? ? ??? ??? ?? ??????? ",,,,,,
select_one yes_no_dk_dwta,leave_country_intention,Are you or any member of the HH intending to leave the country?,yes,,,quick,,,?? ??? ?? ?? ??? ?? ????? ?????? ????? ?????? ???????,,,,,,
select_multiple leave_country_reasons,leave_country_reasons,"If Yes, why?",yes,,"selected(${leave_country_intention},'yes')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ??? ? ??????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,leave_country_reasons_other,"if other, please specify",yes,,"selected(${leave_country_reasons},'other')",,,,???  ???,,,,,,
select_one yes_no_dk_dwta,presence_uxo_neighborhood,Are you aware of the presence of any explosive hazards in your neighborhood?,yes,,,quick,,,?? ??? ??? ??? ????? ?? ?????? ??? ?? ????? ?? ????????,,,,,,
select_multiple awareness_uxo_actions,awareness_uxo_actions,"If Yes, what course of action did you take?",yes,,"selected(${presence_uxo_neighborhood},'yes')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_action_taken')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ???? ? ?? ?? ???? ????? ???? ??????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,contacted_mine_details,If contacted a mine action authority please specify,yes,,"selected(${awareness_uxo_actions},'contacted_mine_authority')",,,,"??? ?? ??????? ????? ?????? ??????? ? ???? ????? ???",,,,,,
select_one yes_no_dk_dwta,awareness_uxo,Have any member of the household received any form of explosive hazards risk awareness? ,yes,,,quick,,,?? ???? ?? ??? ?? ????? ?????? ?? ??? ?? ????? ??????? ?????? ??????????,,,,,,
select_multiple awareness_source,awareness_source,"If Yes, from what source?",yes,,"selected(${awareness_uxo},'yes')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ??? ?????? ???? ?? ?? ?????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,awareness_source_other,Other:,yes,,"selected(${awareness_source},'other')",,,,????? ???? (???? ???????),,,,,,
select_one awareness_period,awareness_period,"If Yes, when were they made aware?",yes,,"selected(${awareness_uxo},'yes')",quick,,,"??? ???? ??????? ???? ? ???? ????? ?????",,,,,,
select_one yes_no_dk_dwta,member_uxo_injured,Has any member of your household been harmed as a result of being exposed to an explosive hazards in the past?,yes,,,quick,,,?? ???? ?? ??? ?? ????? ????? ?????? ????? ????? ?????? ????????? ?? ???????,,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,assistance,Assistance,yes,,,,,,????? ,,,,,,
select_one yes_no_dk_dwta,received_assistance,Did your household receive humanitarian assistance during the previous 6 months?,yes,,,quick,,,?? ???? ????? ??? ?????? ??????? ???? ??? 6 ???? ????????,,,,,,
select_multiple assistance_modality,modality_assistance,"If yes, what was the modality of the assistance received?",yes,,"selected(${received_assistance},'yes')",,"not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ??? ? ??? ?? ????? ???? ?????????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,modality_assistance_other,if other please specify,yes,,"selected(${modality_assistance},'other')",,,,"????? ???? ??????? ",,,,,,
select_multiple assistance_source,assistance_source,"If yes, from what source? ",yes,,"selected(${received_assistance},'yes')",,"not(selected(.,'dwta')) and not(selected(.,'dk')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ???? ? ?? ?? ?????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,assistance_source_other,if other please specify,yes,,"selected(${assistance_source},'other')",,,,"????? ???? ??????? ",,,,,,
select_multiple humanitarian_assistance_barriers,humanitarian_assistance_barriers,"In the last year, did your household face any barriers to receiving humanitarian assistance?",yes,,"selected(${received_assistance},'yes')",,"not(selected(.,'dwta')) and not(selected(.,'dk')) and not(selected(.,'no_barriers_assistance')) or count-selected(.) = 1",some options can't be selected with other options,"?? ????? ?????? ? ?? ????? ????? ?? ????? ???? ??? ???? ????????? ??????????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,humanitarian_assistance_barriers_ot,if other please specify,yes,,"selected(${humanitarian_assistance_barriers},'other')",,,,"????? ???? ??????? ",,,,,,
select_one future_assistance,future_assistance,"If your household were to receive assistance in the future, what modality would you like it to be?",yes,,,quick,,,"??? ???? ????? ????? ??? ???????? ?? ???????? ? ??? ?? ??????? ???? ???????",,,,,,
text,future_assistance_other,if other please specify,yes,,"selected(${future_assistance},'other')",,,,"????? ???? ??????? ",,,,,,
select_one humanitarian_assistance_info,humanitarian_assistance_info,What is your primary source of information on the humanitarian assistance in your current area of residence?,yes,,,quick,,,?? ?? ?????? ??????? ????????? ??? ???????? ????????? ?? ?????? ????????,,,,,,
select_multiple prefered_humanitarian_news,prefered_humanitarian_news,What type of information would you like to receive from aid providers? Please specify your top 3 priorities.,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and count-selected(.) <=3 or count-selected(.) = 1",some options can't be selected with other options,?? ??? ????????? ???? ???? ?? ?????? ?? ????? ????????? ? ???? ????? ??? 3 ???????.,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,prefered_humanitarian_news_other,if other please specify,yes,,"selected(${prefered_humanitarian_news},'other')",,,,"????? ???? ??????? ",,,,,,
select_one prefered_information_source,prefered_information_source,Who/where would you prefer to receive information from?,yes,,,quick,,,?? / ??? ???? ???? ????????? ???,,,,,,
text,prefered_information_source_other,if other please specify,yes,,"selected(${prefered_information_source},'other')",,,,"????? ???? ??????? ",,,,,,
select_one yes_no,food_security_consent,"Enumerator to explain: ‘To be able to better monitor the food security situation in Libya, we are planning to conduct short surveys via mobile phone. If you were to participate, the phone survey would last approximately 10 minutes, and would focus on your family’s food consumption, access to markets, work and social well-being. Any information collected would remain strictly confidential and anonymous. This information will help us understand the situation in your community. Any information collected would remain strictly confidential and anonymous. Would you be interested in participating?’",yes,,,quick,,,"??? ???? ?????? ??? ?????? ??????? ???? ????? ??????? ?? ?????? ????? ???? ?????? ????????? ??? ????? ?? ???? ?????? ???????.  ""
? ?? ???? ????????? ??? ??? ??????? ?????? ???? ????? ??????? ???????
?????? ??????? ??? ????????? ??????? ??????? ????? ?????? ?????? ??? ??????? ?????? ????????? ??????????.
 
?? ??????? ???? ???????? ????? ????? ?? ???? ????. ??? ????????? ???????? ???? ??????? ?? ???????
?? ??? ???????? ????????? ?? ????.""",,,,,,
